,context,p_value,agent,satisfaction,Cumulative_Satisfaction
0,0,3,89.0,0.1207803228170392,0.1207803228170392
1,1,3,89.0,0.0432079064339758,0.163988229251015
2,2,3,89.0,0.2583004224176358,0.4222886516686508
3,3,3,89.0,0.0254799540662221,0.44776860573487287
4,4,3,89.0,0.4394695407557774,0.8872381464906502
5,5,3,89.0,0.0122138551583606,0.8994520016490108
6,6,3,89.0,0.0947356788620187,0.9941876805110296
7,7,3,89.0,0.0733851633767409,1.0675728438877705
8,8,3,89.0,0.1362364589186095,1.2038093028063799
9,9,3,89.0,0.3407745637176109,1.5445838665239908
10,10,3,89.0,0.2945841697418676,1.8391680362658585
11,11,3,89.0,0.0259311362899651,1.8650991725558235
12,12,3,89.0,0.0629860871319463,1.9280852596877698
13,13,3,89.0,0.070369112935207,1.9984543726229769
14,14,3,89.0,0.226987319310077,2.225441691933054
15,15,3,89.0,0.0056178476460113,2.231059539579065
16,16,3,89.0,0.180799250703692,2.411858790282757
17,17,3,89.0,0.0297454933451599,2.441604283627917
18,18,3,89.0,0.0159858941229215,2.4575901777508387
19,19,3,89.0,0.0315201856070825,2.489110363357921
20,20,3,89.0,0.0671709904910455,2.5562813538489664
21,21,3,89.0,0.0476188169171602,2.603900170766127
22,22,3,89.0,0.2024226874706291,2.8063228582367556
23,23,3,89.0,0.0269121339079188,2.8332349921446744
24,24,3,89.0,0.002962539673489,2.8361975318181636
25,25,3,89.0,0.0319915530674016,2.8681890848855653
26,26,3,89.0,0.0830282063134684,2.9512172911990335
27,27,3,89.0,0.1566354506919953,3.107852741891029
28,28,3,89.0,0.0539424286479088,3.1617951705389378
29,29,3,89.0,0.0409505431350251,3.2027457136739628
30,30,3,89.0,0.0896223717416208,3.2923680854155837
31,31,3,89.0,0.0050630289950752,3.2974311144106587
32,32,3,89.0,0.0278469396328303,3.325278054043489
33,33,3,89.0,0.0063569582049216,3.3316350122484106
34,34,3,89.0,0.0544007377207166,3.3860357499691274
35,35,3,89.0,0.0918028330356438,3.477838583004771
