context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,91.0,0.948966189993868,43.0,0.0012194696642664
1,78.0,0.8695063003479262,44.0,0.0001307180363857
2,65.0,0.868297066892591,84.0,0.0012431469179886
3,15.0,0.9252339107775792,22.0,0.0017104346245316
4,78.0,0.9208608613711416,32.0,0.0002569659524132
5,34.0,0.830253150332968,12.0,0.0032594708788372
6,22.0,1.0329002450827751,2.0,0.0010701453451337
7,85.0,1.018130477312386,53.0,0.0006242038028525
8,42.0,0.9316227469687808,90.0,0.0010086928197205
9,20.0,0.9252120388933478,14.0,0.000217320869586
10,62.0,0.8152842019685695,44.0,0.0016074762890991
11,42.0,0.9699022172900984,77.0,0.0007390303118365
12,79.0,0.9392169037721694,83.0,0.000639796049584
13,78.0,1.100539188189492,94.0,9.59607403611118e-05
14,58.0,0.8148189521083254,32.0,6.707960402643764e-05
15,99.0,0.8993782133380781,22.0,0.0034109910115333
16,58.0,1.0171733395535243,85.0,0.0007772605586592
17,12.0,0.93305388925086,12.0,0.0002006770880768
18,0.0,1.006426181082971,48.0,0.0006766162444052
19,47.0,0.9458287431557544,92.0,0.0005538495078198
20,27.0,0.8888854685826109,65.0,0.0034032796355718
21,30.0,1.0276226129056831,47.0,0.0007130825111173
22,22.0,0.9897083385155224,97.0,0.0002793525180831
23,85.0,1.093848465771819,99.0,0.0004565557477026
24,85.0,0.9167494180285032,87.0,4.2560980552663885e-06
25,9.0,0.8849783930771029,30.0,0.000784118463102
26,63.0,0.9739088026842646,41.0,0.0004412861931159
27,61.0,0.9074066947095338,59.0,0.0007075322394855
28,63.0,0.9467024577896246,10.0,0.0002195753517611
29,16.0,0.8254397764462831,54.0,0.0002644098367186
30,63.0,0.9400784210819676,33.0,0.0003326494637303
31,63.0,0.9198377522350412,86.0,0.0017330132348081
32,83.0,1.022343917993597,33.0,5.826071714220768e-05
33,85.0,0.9505839166233286,75.0,0.0002820752625172
34,54.0,0.9038740923868696,23.0,0.000337636554653
35,32.0,0.932030994151402,57.0,0.0002774779411528
36,20.0,0.8910215145883611,70.0,0.0002202044591202
37,20.0,0.8920697242433648,87.0,0.0002287692702898
38,20.0,0.868185803302165,27.0,0.0002174108991551
